
# File: Confusable.txt
# Version: 1.4
# License: MIT
# Copyright: (c) 2023 Michel Mariani

# Group: 丨・亅
U+7333 U+8C6D
U+3085E U+8C6E
U+24813 U+8C6F
U+31B8B U+8C71
U+7342 U+8C72
U+2483B U+8C74
U+24846 U+8C75
U+7356 U+8C76
U+2486C U+8C77
U+2DDF8 U+27C29
U+24728 U+27C2D
U+72B9 U+27C30
U+24755 U+27C37
U+72D3 U+27C38
U+24752 U+27C39
U+72D1 U+27C3B
U+24793 U+27C40
U+72EA U+27C41
U+72DF U+27C42
U+3E6B U+27C45
U+72E6 U+27C46
U+2477D U+27C47
U+3E72 U+27C50
U+247A9 U+27C51
U+72F5 U+27C53
U+247B8 U+27C56
U+730F U+27C5A
U+3085B U+27C5C
U+7311 U+27C5F
U+247C4 U+27C61
U+2DE16 U+27C65
U+7325 U+27C68
U+2DE1D U+27C69
U+3E84 U+27C6C
U+7323 U+27C6D
U+733D U+27C74
U+2482F U+27C75
U+733C U+27C79
U+31B95 U+27C7A
U+24841 U+27C7C
U+3E8E U+27C7F
U+735C U+27C82
U+3E94 U+27C84
U+24871 U+27C86
U+2488D U+27C88
U+248A3 U+27C89
U+24893 U+27C8B
U+2A693 U+27C96
U+3EA3 U+27C98
U+248CD U+27C99
U+248D1 U+27C9A
U+24721 U+286E4
U+24855 U+2A065
U+24720 U+2C93B
U+72C3 U+2C93D
U+3E73 U+2C93F
U+2C336 U+2C942
U+7338 U+2E663
U+7339 U+30DAA
U+2480B U+30DAC
U+248E4 U+30DB0

# Group: 犭・豸
U+72AD U+8C78
U+24736 U+4756
U+72C7 U+4757
U+24748 U+4758
U+72D4 U+475A
U+72D3 U+475B
U+72FB U+475C
U+7317 U+475D
U+7307 U+475E
U+7330 U+475F
U+7342 U+4760
U+24841 U+4761
U+734C U+4762
U+24877 U+4763
U+7360 U+4764
U+734B U+4765
U+72B3 U+8C79
U+25499 U+25530
U+72B2 U+8C7A
U+72B4 U+8C7B
U+2473B U+8C7C
U+2473D U+8C7D
U+72C9 U+8C7E
U+72D7 U+8C7F
U+24752 U+8C80
U+72D6 U+8C81
U+3E66 U+8C82
U+72DB U+8C83
U+2477D U+8C84
U+3E6F U+8C85
U+72DF U+8C86
U+72E0 U+8C87
U+2136D U+58BE
U+317B4 U+228BD
U+26D2D U+26F9C
U+2A648 U+31326
U+3084C U+8C88
U+72E2 U+8C89
U+3E6E U+8C8A
U+7302 U+8C8B
U+3E78 U+8C8C
U+72F8 U+8C8D
U+227C6 U+399F
U+4506 U+85B6
U+2E9A6 U+973E
U+29B9E U+29BEC
U+730A U+8C8E
U+7308 U+8C8F
U+3E84 U+8C90
U+7333 U+8C91
U+732F U+8C92
U+732B U+8C93
U+2481E U+8C94
U+24813 U+8C95
U+7348 U+8C96
U+3E8F U+8C97
U+734F U+8C98
U+2483E U+8C99
U+3E97 U+8C9A
U+737E U+8C9B
U+7383 U+8C9C
U+26CA1 U+26EFF
U+2471C U+27CA1
U+24724 U+27CA2
U+2472E U+27CA3
U+2DDFD U+27CA4
U+2474D U+27CA5
U+2474C U+27CA6
U+24731 U+27CA7
U+24735 U+27CA8
U+72BA U+27CAA
U+2472F U+27CAB
U+2C32C U+27CAD
U+2475C U+27CAF
U+3E67 U+27CB1
U+72D0 U+27CB2
U+3E63 U+27CB4
U+3E69 U+27CB5
U+2475E U+27CB7
U+24753 U+27CB8
U+3E68 U+27CB9
U+24756 U+27CBB
U+72CD U+27CBC
U+24759 U+27CBD
U+72E6 U+27CBE
U+2477E U+27CC0
U+2477B U+27CC1
U+2476F U+27CC2
U+72EC U+27CC3
U+3E6C U+27CC5
U+72EA U+27CC6
U+24770 U+27CC7
U+24774 U+27CC9
U+247B4 U+27CCA
U+2479A U+27CCD
U+3E73 U+27CCE
U+2479C U+27CCF
U+72F6 U+27CD0
U+72F5 U+27CD1
U+72FD U+27CD2
U+72FC U+27CD3
U+247B8 U+27CD4
U+3084E U+27CD5
U+247BB U+27CD8
U+731D U+27CDA
U+31B85 U+27CDC
U+3E7F U+27CDD
U+731A U+27CDE
U+730D U+27CDF
U+7311 U+27CE2
U+247C8 U+27CE3
U+247D6 U+27CE5
U+3E81 U+27CE6
U+7331 U+27CE8
U+732D U+27CE9
U+732C U+27CEA
U+7336 U+27CEB
U+7338 U+27CEC
U+7328 U+27CED
U+732A U+27CEF
U+247E4 U+27CF0
U+247FB U+27CF3
U+733C U+27CF5
U+7340 U+27CF6
