
# File: Shinjitai-Kyūjitai.txt
# Version: 1.74
# License: MIT
# Copyright: (c) 2023 Michel Mariani

# Group: Compatibility
U+2510C U+775F	*
U+25627 U+797D	*
U+26648 U+813A	*
U+26B21 U+8403	*
U+2BC13 U+21775	*
U+3064A U+3C35	*
U+30A1E U+7A21	*
U+31095 U+9847	*

# Group: 杂・𰗣
U+96D1 U+96DC
U+2B75C U+56C3	*
U+30C36 U+26DDE	*

# Group: 心・⿱倠心
U+5FDC U+61C9
U+24D42 U+24EEE	*

# Group: 褒・襃
U+8912 U+8943

# Group: 歩・步
U+6B69 U+6B65
U+6E09 U+6D89

# Group: 巣・巢
U+5DE3 U+5DE2

# Group: ⿱𭕄凶・𡿺
U+60A9 U+60F1
U+8133 U+8166

# Group: 舌・𤔔
U+4E71 U+4E82
U+8F9E U+8FAD

# Group: 医・醫
U+533B U+91AB

# Group: 予・豫
U+4E88 U+8C6B
U+677C U+6AF2	*
U+6C7F U+240BB	*

# Group: 旦・詹
U+62C5 U+64D4
U+80C6 U+81BD

# Group: 巻・卷
U+5DFB U+5377
U+570F U+5708

# Group: 壱・壹
U+58F1 U+58F9

# Group: 暦・曆
U+66A6 U+66C6

# Group: 歴・歷
U+6B74 U+6B77

# Group: 𢚩・㥯
U+226A9 U+396F	*
U+96A0 U+96B1
U+7A4F U+7A69
U+2C22C U+6FE6	*

# Group: 当・當
U+5F53 U+7576

# Group: 団・團
U+56E3 U+5718

# Group: ⿱㇒𭕄𠙻・䍃
U+63FA U+6416
U+8B21 U+8B20

# Group: 㐮・襄
U+342E U+8944	*
U+58CC U+58E4
U+5B22 U+5B43
U+8B72 U+8B93
U+91B8 U+91C0
U+7A63 U+7A70	*
U+299AA U+9A64	*
U+2BB04 U+56B7	*
U+2D8AF U+6518	*
U+2D9FD U+66E9	*
U+2E09C U+79B3	*
U+2E80D U+287DA	*
U+2E8D0 U+9472	*

# Group: 潜・潛
U+6F5C U+6F5B

# Group: 賛・贊
U+8CDB U+8D0A

# Group: 弐・貳
U+5F10 U+8CB3

# Group: 為・爲
U+70BA U+7232
U+507D U+50DE

# Group: 発・發
U+767A U+767C
U+5EC3 U+5EE2
U+3FB1 U+7648	*
U+6E8C U+6F51	*
U+9197 U+91B1	*
U+2B77C U+64A5	*

# Group: 友・犮
U+9AEA U+9AEE

# Group: 図・圖
U+56F3 U+5716
U+2E879 U+28BA2	*

# Group: 円・圓
U+5186 U+5713

# Group: 万・萬
U+4E07 U+842C
U+52B1 U+52F5

# Group: 岳・嶽
U+5CB3 U+5DBD

# Group: 㦮・戔
U+39AE U+6214	*
U+685F U+68E7
U+6B8B U+6B98
U+6D45 U+6DFA
U+8DF5 U+8E10
U+92AD U+9322
U+41F3 U+7B8B	*
U+4B3B U+991E	*
U+8CCE U+8CE4	*
U+23FFD U+6FFA	*
U+20219 U+4FF4	*
U+2506B U+76DE	*
U+2548E U+788A	*
U+2C8A3 U+8AD3	*

# Group: 寛・寬
U+5BDB U+5BEC

# Group: 𮥶・雚
U+2E976 U+96DA	*
U+52E7 U+52F8
U+6A29 U+6B0A
U+6B53 U+6B61
U+89B3 U+89C0
U+23824 U+6B1F	*
U+6F45 U+704C	*
U+27F73 U+47D2	*
U+28ADD U+9475	*
U+2D79E U+61FD	*
U+2E278 U+7F50	*

# Group: 缶・罐
U+7F36 U+7F50

# Group: 帯・帶
U+5E2F U+5E36
U+6EDE U+6EEF
U+9FEE U+5ED7	*

# Group: 虚・虛
U+865A U+865B

# Group: 戯・戲
U+622F U+6232

# Group: 与・與
U+4E0E U+8207

# Group: 写・寫
U+5199 U+5BEB

# Group: 兴・與
U+6319 U+64E7
U+8A89 U+8B7D
U+FA14 U+6B05	*
U+2770E U+8977	*

# Group: 双・雙
U+53CC U+96D9

# Group: 虫・蟲
U+866B U+87F2

# Group: 虫・蜀
U+89E6 U+89F8
U+72EC U+7368

# Group: 蚕・蠶
U+8695 U+8836

# Group: 恵・惠
U+6075 U+60E0
U+7A42 U+7A57
U+28ACD U+93F8	*

# Group: 専・專
U+5C02 U+5C08
U+2B74A U+50B3	*
U+319C8 U+6F19	*

# Group: 云・專
U+4F1D U+50B3
U+8EE2 U+8F49

# Group: 芸・藝
U+82B8 U+85DD
U+20281 U+20462	*
U+2BC3C U+21926	*

# Group: 有・⿱左⺝・⿱左⺼
U+968F U+96A8
U+5815 U+58AE
U+9AC4 U+9AD3

# Group: 霊・靈
U+970A U+9748

# Group: 条・條
U+6761 U+689D

# Group: 圣・巠
U+5723 U+5DE0	*
U+5F84 U+5F91
U+830E U+8396
U+7D4C U+7D93
U+8EFD U+8F15

# Group: 対・對
U+5BFE U+5C0D
U+20C9D U+5689	*
U+2266A U+39A0	*
U+22B2D U+22DEE	*
U+232C7 U+23312	*
U+284BB U+28617	*
U+296DC U+297E1	*
U+2AAFC U+61DF	*
U+2AD8A U+6FE7	*
U+2C5D4 U+261B9	*
U+320EA U+281B7	*

# Group: 東・柬
U+932C U+934A

# Group: 黒・黑
U+9ED2 U+9ED1

# Group: 黙・默
U+9ED9 U+9ED8

# Group: 点・點
U+70B9 U+9EDE

# Group: 党・黨
U+515A U+9EE8

# Group: 勲・勳
U+52F2 U+52F3
U+2C7D3 U+860D	≈

# Group: 薫・薰
U+85AB U+85B0

# Group: 録・錄
U+9332 U+9304

# Group: 宝・寶
U+5B9D U+5BF6

# Group: 気・氣
U+6C17 U+6C23
U+2DC11 U+6ECA	*
U+301DC U+20EAA	*

# Group: 圧・壓
U+5727 U+58D3

# Group: 広・廣
U+5E83 U+5EE3
U+62E1 U+64F4
U+9271 U+945B
U+663F U+66E0	*
U+783F U+7926	*
U+7D4B U+7E8A	*
U+2CF77 U+5123	*
U+2D028 U+5164	*
U+2D1D7 U+569D	*
U+2D721 U+61ED	*
U+2DFA6 U+77CC	*
U+2E1CB U+42AF	*
U+2E93E U+28F4F	*

# Group: 兵・賓
U+5175 U+8CD3	*
U+6D5C U+6FF1
U+345F U+5110	*
U+5A26 U+5B2A	*
U+6360 U+64EF	*
U+68B9 U+6AB3	*
U+92F2 U+944C	*
U+9B02 U+9B22	*
U+20D07 U+2105F	*
U+266FC U+81CF	*
U+2AEE4 U+74B8	*
U+2D73E U+228D0	*
U+2E020 U+7917	*
U+2E3CA U+85B2	*
U+2E510 U+8819	*
U+2EAFD U+29F27	*
U+31884 U+232EA	*

# Group: 売・賣
U+58F2 U+8CE3
U+7D9A U+7E8C
U+8AAD U+8B80
U+3E3F U+72A2	*
U+6D9C U+7006	*

# Group: 研・硏
U+7814 U+784F

# Group: 并・幷
U+4F75 U+5002
U+9905 U+9920
U+74F6 U+7501

# Group: 緒・緖
U+7DD2 U+7DD6

# Group: 属・屬
U+5C5E U+5C6C
U+5631 U+56D1

# Group: ⿰臣⿱𠂉丶・⿰臣⿱𠂉一・𰯲
U+89A7 U+89BD
U+3C16 U+6B16	*
U+432B U+7E9C	*
U+2BB20 U+56D5	*
U+2D8C4 U+652C	*
U+240BA U+7060	*
U+24478 U+7226	*
U+946C U+28C32	*
U+31CD8 U+25356	*
U+281E3 U+28207	*
U+288F8 U+2890B	*
U+76E3 U+250C6	*
U+5682 U+2115E	*
U+85CD U+2B297	*
U+9373 U+9452	*
U+28BFF U+28C39	*
U+2353F U+3BFA	*
U+27A7E U+8B7C	*
U+28352 U+283CA	*

# Group: 歯・齒
U+6B6F U+9F52
U+9F62 U+9F61
U+565B U+5699	*
U+2A5F1 U+9F5F	*
U+2A602 U+9F67	*
U+2D330 U+56D3	*
U+2A61A U+9F6C	*
U+2B81A U+9F63	*
U+2CB1C U+28C22	*
U+2E8C1 U+9461	*
U+2EBBE U+9F54	*
U+2EBC3 U+9F60	*
U+2EBC5 U+9F66	*
U+2EBC7 U+9F6A	*
U+2EBC8 U+4DA8	*
U+2EBCB U+9F76	*
U+2EBCC U+9F72	*
U+2EBCE U+9F77	*

# Group: 献・獻
U+732E U+737B
U+2E63E U+8B9E	*
U+28B79 U+9480	*

# Group: ⿺𠃊米・㡭
U+65AD U+65B7
U+7D99 U+7E7C
U+46E7 U+471D	*

# Group: 厶・弗
U+6255 U+62C2
U+4ECF U+4F5B

# Group: 聴・聽
U+8074 U+807D
U+5EF0 U+5EF3	*

# Group: 庁・廳
U+5E81 U+5EF3

# Group: 徳・德
U+5FB3 U+5FB7

# Group: 声・聲
U+58F0 U+8072

# Group: 黄・黃
U+9EC4 U+9EC3
U+6A2A U+6A6B

# Group: 旧・舊
U+65E7 U+820A

# Group: 号・號
U+53F7 U+865F

# Group: 斉・齊
U+6589 U+9F4A
U+5264 U+5291
U+6E08 U+6FDF
U+658E U+9F4B
U+29D1A U+29D43	*
U+2C4D6 U+2E0A7	*
U+2DC8D U+2DCEF	*
U+346A U+5115	*
U+3A08 U+64E0	*
U+7DD5 U+7E83	*
U+8415 U+85BA	*
U+2671D U+81CD	*
U+2808B U+8E8B	*
U+2ABFC U+2C01B	*
U+2B545 U+96AE	*
U+2CC01 U+973D	*
U+2D75A U+61E0	*
U+2E895 U+9447	*

# Group: 並・竝
U+4E26 U+7ADD
U+202A7 U+50A1	*
U+666E U+669C	*
U+8B5C U+27B58	*
U+23BA7 U+23BDE	*
U+6E74 U+23E84	*
U+6F42 U+24006	*
U+24F7D U+24F95	*
U+45D2 U+273D1	*
U+8AE9 U+27ABB	*
U+2809D U+280F1	*
U+4C03 U+29B97	*
U+2809E U+2C9C8	*

# Group: 会・會
U+4F1A U+6703
U+7D75 U+7E6A
U+29DC6 U+9C60	*

# Group: 単・單
U+5358 U+55AE
U+5F3E U+5F48
U+6226 U+6230
