
# File: Layout.txt
# Date: 2023-06-05
# License: MIT
# Copyright: (c) 2023 Michel Mariani

U+6784 U+208DB
U+28EC2 U+2B466
U+9681 U+90FE
U+268E9 U+81E6
U+28E6E U+90DD
U+2B524 U+2CB8C
U+26830 U+2B1B6
U+2BC12 U+8097
U+31C83 U+26686
U+445A U+43E6
U+2C6B8 U+269D8
U+28E4C U+286C7
U+2988B U+267D0
U+298C0 U+267D6
U+29D7A U+4433
U+80CE U+2AC5C
U+6782 U+26663
U+30BB6 U+2C6C8
U+707F U+21D7C
U+25909 U+9FA2
U+2CC3E U+2A6CF
U+9FA3 U+2CEA0
U+22EBA U+22EB9
U+22ECC U+2867E
U+2BFA5 U+2D8DF
U+4B94 U+298F7
U+2B53C U+90AE
U+9672 U+90F5
U+28EAA U+2871A
U+97DA U+292FE
U+28F12 U+9132
U+96A9 U+28793
U+2A219 U+2A21F
U+28E17 U+9097
U+28E26 U+90C9
U+2E948 U+286CE
U+3122B U+4CDA
U+26463 U+2646A
U+2A074 U+9D52
U+963E U+90BB
U+2E96D U+287B3
U+9CE6 U+2B6AE
U+2D54C U+2BD4B
U+28F03 U+2874C
U+2A0B1 U+9D6B
U+21D8C U+25422
U+782C U+41C9
U+2EB38 U+2A025
U+2B970 U+2A942
U+7551 U+24C39
U+4397 U+26493
U+49DA U+9117
U+268F0 U+2C6E9
U+2A0B0 U+2A091
U+24BF0 U+2AF45
U+963A U+90B8
U+4CAC U+4CAD
U+2A00D U+9D1F
U+29FD6 U+29FC3
U+89B9 U+27892
U+27891 U+89B8
U+28F67 U+9144
U+294F8 U+294E0
U+28F20 U+9131
U+49E7 U+48E1
U+9A00 U+298E3
U+9E03 U+4D0A
U+2B546 U+28725
U+266AD U+868F
U+26040 U+2E684
U+2C5CC U+2B2BA
U+2E966 U+28795
U+29DA5 U+45E8
U+2D926 U+65B6
U+2CBDA U+912D
U+2B540 U+90D1
U+8112 U+31E36
U+29AD1 U+29AD0
U+772F U+31E37

# Group: ⿰①①・⿱①①
U+6BD4 U+2B9C7
U+4ECE U+4ECC
U+53B8 U+3555
U+53CC U+355B
U+5936 U+3690
U+5405 U+5415
U+303D2 U+2205D
U+2A8B4 U+572D
U+5C7E U+5C80
U+21587 U+591A
U+597B U+36A3
