
# File: Addition.txt
# Version: 1.14
# License: MIT
# Copyright: (c) 2023 Michel Mariani

U+20BC8 U+5454
U+26A10 U+8226
U+8ED1 U+8EDA
U+594B U+21612
U+2A41D U+2A425
U+99B1 U+99C4
U+21619 U+21652

# Group: 丶・一 (Below) | 氏・氐
U+6C0F U+6C10
U+8210 U+445B
U+47D7 U+47E1
U+2926C U+4A5A
U+20A3F U+538E
U+2D1C7 U+5467
U+5741 U+577B
U+37B4 U+5CBB
U+3873 U+5E95
U+5FEF U+601F
U+627A U+62B5
U+233DA U+67E2
U+6C66 U+6CDC
U+44CB U+44DC
U+75A7 U+75B7
U+7702 U+7721
U+2C480 U+7825
U+7947 U+7957
U+2D24C U+2D278
U+79D6 U+79EA
U+26646 U+80DD
U+82AA U+830B
U+2A09B U+2A0D6
U+8694 U+86B3
U+8879 U+889B
U+89D7 U+89DD
U+27984 U+8A46
U+27D44 U+8CBE
U+8D7F U+8D86
U+8EDD U+8EE7
U+28E1D U+963A
U+4CAD U+9D1F
U+216BC U+216DC
U+3E5D U+2476C
U+7D19 U+25FC4
U+2640A U+26420
U+273AA U+2740F
U+2C87C U+2781F
U+287FE U+2880F
U+28F9B U+28FA6
U+29465 U+2947E
U+4CAC U+2A00D
U+2894C U+2CACC
U+297FE U+2CCAE
U+2DE3B U+2DE41
U+2CA02 U+30E80

# Group: 丶 (Inside) | 又・叉
U+53C8 U+53C9
U+3177D U+38FE
U+23CBE U+3CD7
U+24981 U+3EE8	≈
U+250EB U+4011
U+251C4 U+404A
U+2D80E U+6260
U+6743 U+6748
U+6C49 U+6C4A
U+2AC59 U+809E
U+2AC59 U+2E30B
U+22AEA U+22B97
U+26AFF U+8286
U+27221 U+86A4
U+63BB U+6414
U+9A12 U+9A37
U+272AC U+26EE9	≈
U+2A984 U+21801	≈
U+2E567 U+8869
U+28941 U+91F5
U+378B U+21C2B
U+8D67 U+27E60
U+2BD74 U+21D4C
U+22AFA U+22B9E
U+53D6 U+26539
U+2499F U+249EC	≈
U+24B61 U+24B7F	≈
U+30D20 U+278B7
U+9093 U+28673
U+2944C U+29450
U+53D9 U+2A743
U+99AD U+2B605
U+53F9 U+2BA57
U+206AB U+2D0C6	≈
U+2A824 U+2D0C7
U+374A U+30335
U+2BA37 U+31C7B

# Group: 丶 (Inside) | 井・丼
U+4E95 U+4E3C
U+34DD U+206DC
U+22488 U+38CB
U+28677 U+286A2
U+2430C U+24367
U+8015 U+264EE
U+28995 U+289BF

# Group: 丶 (Inside) | 土・圡
U+571F U+5721
U+5727 U+538B
U+5E84 U+5E92
U+8CCD U+8CD8
U+40AF U+254B9
U+7CA7 U+25E81
U+22B02 U+2AB7D
U+2D81C U+22B1D	≈
U+7076 U+241A7
U+58C1 U+2842C
U+809A U+2B196
U+2B2A5 U+2C7F6

# Group: 丶 (Inside) | 土・𡈽
U+571F U+2123D
U+2565E U+31D4D	≈

# Group: 丶 (Inside) | 王・玉
U+738B U+7389
U+56EF U+56FD
U+266E2 U+8158
U+5321 U+5324
U+7B50 U+7B7A
U+6282 U+22ADB
U+958F U+95A0
U+20FBD U+2100A
U+6A4D U+2371D
U+73A8 U+73CF
U+73A8 U+24934
U+73CF U+24934
U+73B4 U+24919
U+23202 U+741E
U+748B U+24A3C
U+24A79 U+74A7
U+869F U+27263
U+98EA U+296BD
U+3124D U+2CE03
U+9CFF U+29FF1
U+34D8 U+24954
U+24985 U+3ED7
U+3F01 U+24A7A
U+21260 U+212A9
U+248D4 U+248D7
U+24992 U+24982
U+24ACA U+2919C
U+2867C U+2869D
U+21B00 U+21B0F

# Group: 丶 (Inside) | 王・玊
U+738B U+738A

# Group: 丶 (Inside) | 女・𡚦
U+5973 U+216A6

# Group: 丶 (Inside) | 木・术
U+6728 U+672F
U+6C90 U+6CAD
U+225E6 U+6038
U+6A22 U+29FEF
U+7A7C U+25947

# Group: 丶 (Inside) | 𡯃・龙
U+21BC3 U+9F99

# Group: 丶 (Inside) | 氏・𫞕
U+6C0F U+2B795

# Group: 丶 (Inside) | 𬺰・寸
U+2CEB0 U+5BF8

# Group: 丶 (Overlay) | 勿・匆
U+52FF U+5306
U+5FFD U+6031
U+2C2A1 U+3DD3
U+24679 U+3E45
U+2CFA0 U+506C
U+60DA U+6121
U+39FE U+63D4
U+2ACA8 U+6964
U+26055 U+7DEB
U+2659F U+8066
U+44E4 U+8471
U+26162 U+7E71
U+9343 U+936F
U+21772 U+217DF
U+2498F U+249DA
U+251F0 U+2521D
U+26729 U+26770
U+27A53 U+27A6A
U+29B73 U+29B80
U+952A U+2CB65
U+30B26 U+30B30
U+82B4 U+8310
U+543B U+20C2F
U+20C4E U+20C71
U+219E4 U+219F4
U+60E3 U+22770
U+22AB1 U+22ACD
U+287F8 U+2881E
U+29082 U+2909C
U+7C85 U+2C595
U+205B3 U+2D089

# Group: 丶 (Overlay) | ・⿻丶
U+2C09F U+233EF

# Group: 丶 (Overlay) | 彖・⿻彖丶
U+217C7 U+217FC
U+6E6A U+23EB5

# Group: 丶 (Overlay) | 盁・𫞯
U+76C1 U+2B7AF

# Group: ㇒ (Above) | 冋・向
U+518B U+5411
U+5770 U+57A7
U+2D473 U+59E0
U+2AAEA U+6066
U+6243 U+6244
U+23544 U+235C9
U+2D964 U+664C
U+2317B U+6651
U+3EBE U+73E6
U+8FE5 U+9008
U+2897D U+9284
U+296B1 U+9909
U+70AF U+2420D
U+2B04B U+25969
U+7D45 U+25FE7
U+8A57 U+279E6
U+23412 U+2C0AD
U+27EB8 U+2E6B9
U+201F6 U+3007C

# Group: ㇒ (Above) | 㠯・𠂤
U+382F U+200A4
U+36B6 U+21725
U+3B52 U+6858
U+4F40 U+20206
U+5B98 U+219FA
U+2703C U+270CE
U+2128A U+5796
U+22202 U+3882
U+22340 U+2D696
U+25630 U+25662
U+26D2B U+8492
U+279AB U+279C6
U+306DC U+23CE8

# Group: ㇒ (Above) | 㫐・皀
U+3AD0 U+7680
U+419E U+25992
U+219EE U+21A07
U+21BE7 U+21BF1
U+24211 U+24225
U+29681 U+2028A
U+2DA77 U+688E

# Group: ㇒ (Above) | 固・⿱㇒固
U+797B U+256BD

# Group: ㇒ (Above) | 糸・系
U+7CF8 U+7CFB
U+27AAC U+431B
U+28DF4 U+28DF8
U+2D4C2 U+5B6B
U+2E20B U+7D94
U+42E3 U+7DD0
U+3D97 U+2C26F
U+2C5EB U+7E23
U+2863A U+28642
U+2122B U+21231
U+22401 U+22410
U+22B21 U+22B41
U+2DB91 U+23A12
U+2B2BA U+272EC
U+2B2FC U+27683
U+279C8 U+2B33E
U+92AF U+2B4A0
U+2BA79 U+2BA88
U+7D72 U+2E214
U+2E684 U+2E687

# Group: ㇒ (Inside) | 十・𬺱
U+5341 U+2CEB1

# Group: ㇒ (Inside) | 𬺰・才
U+2CEB0 U+624D

# Group: ㇒ (Inside) | 予・矛
U+4E88 U+77DB
U+3428 U+25364
U+677C U+67D5
U+3B8A U+6959
U+21428 U+58C4
U+236FE U+23765	≈
U+59A4 U+2D474
U+5FEC U+22615
U+7D13 U+42D2
U+82A7 U+8305
U+8C6B U+408A
U+9810 U+25380
U+9B63 U+29D92
U+233D7 U+67D4
U+24749 U+24769
U+28964 U+28968
U+28C62 U+28C68
U+29FCE U+2DFFC
U+29FD7 U+2DFFC
U+2CBFA U+96FA
U+2CF3C U+2539E

# Group: ㇒ (Overlay) | 心・必
U+5FC3 U+5FC5
U+628B U+39D9
U+6065 U+43B5
U+26666 U+43DF
U+31FDC U+45A9
U+8A2B U+46D1
U+4F08 U+4F56
U+5423 U+5487
U+216BF U+59BC
U+2BCBD U+5B93
U+3908 U+602D
U+677A U+67F2
U+2AAE0 U+6BD6
U+6C81 U+6CCC
U+2AED2 U+73CC
U+22708 U+745F
U+24A59 U+74B1
U+2561A U+7955
U+82AF U+82FE
U+8651 U+8659
U+920A U+924D
U+321F4 U+94CB
U+60B6 U+959F
U+29D7D U+9B85
U+5422 U+20C23
U+22775 U+227B5
U+5FDE U+23046
U+226D3 U+2357E
U+241B8 U+241E9
U+24D42 U+24D58
U+2C418 U+25051
U+5BCD U+4004
U+23F88 U+3D65
U+5BE7 U+2B771
U+752F U+2A9DF
U+27457 U+274AB
U+21A4B U+5BD7
U+23F79 U+24011
U+21ACD U+29230
U+274A7 U+274EB
U+25E40 U+25E45
U+399A U+28435
U+28809 U+28814
U+2127E U+2A8CA
U+2270E U+2AB07
U+23175 U+2AC17
U+2BEA0 U+2C37E
U+225BB U+2D421
U+611B U+2D42B
U+2D775 U+2D787
U+2C530 U+2E146
U+25FC2 U+2E20A
U+95F7 U+2E932
U+228F1 U+3049D
U+2C313 U+3081C
U+29088 U+32274

# Group: 𠆢 (Above) | 良・食
U+826F U+98DF
U+98EC U+990B
U+7C51 U+4275
U+25D89 U+4275

# Group: 𠆢 (Above) | 离・禽
U+79BB U+79BD
U+20ED7 U+5659
U+645B U+64D2
U+6A06 U+6A8E
U+87AD U+8804
U+227E2 U+228AC
U+24862 U+2488C
U+779D U+252FC
U+25EFF U+25F1D
U+26513 U+2651F
U+2AC69 U+2686C
U+27D01 U+27D10
U+2E710 U+28193
U+2A494 U+2A4AD
U+9ED0 U+2EB93
U+4B1C U+310CE

# Group: 𠆢 (Above) | 𣡗・𣡰
U+23857 U+23870

# Group: 丷 (Above) | 田・𬎿
U+7530 U+2C3BF
U+7570 U+517E
U+7A53 U+258D5
U+452C U+26FB2
U+9FAD U+299B8
U+79A9 U+31D72	≈
U+2D96B U+66FD
U+7537 U+2D12B

# Group: 丷 (Above) | 开・并
U+5F00 U+5E76
U+248FF U+3EC2
U+7B04 U+4202
U+958B U+4995
U+201BB U+4F75
U+2D37F U+57AA
U+598D U+59D8
U+2AB11 U+2BEAC	≈
U+221E9 U+5EB0
U+2D715 U+6072
U+6785 U+681F
U+6C67 U+6D34
U+44D1 U+84F1
U+3F1B U+74F6
U+7814 U+7851
U+26228 U+7F3E
U+2DA29 U+80FC
U+833E U+8353
U+8688 U+86E2
U+8A2E U+8A81
