
# File: Unifiable.txt
# Version: 1.59
# License: MIT
# Copyright: (c) 2023 Michel Mariani

U+277F1 U+277F5
U+277F3 U+277F6
U+212B9 U+5794	*

# Group: UCV-160 (龜)
U+4DAF U+2191E
U+24485 U+2A6B1

# Group: UCV-161 (𬻞・𠁁)
U+9B2C U+9B2D
U+2CEDE U+20041	*

# Group: UCV-162 (𦣝・𦣞・𱼧)
U+7155 U+7199
U+268DD U+268DE

# Group: UCV-163 (臣・𦣞)
U+5BA6 U+5BA7
U+5F2B U+5F2C
U+6815 U+23435
U+81E3 U+268DE
U+831E U+831D
U+268F1 U+8CFE
U+9823 U+9824
U+20C78 U+20CAC
U+241F8 U+241F4
U+24C65 U+24C7B
U+260B3 U+260C2
U+266A0 U+2669F
U+2981D U+29821
U+2981E U+29822

# Group: UCV-164 (姫・姬)
U+59EB U+59EC

# Group: UCV-165 (煕・𤋮)
U+7155 U+242EE

# Group: UCV-168 (⿴一・臼・𦥑)
U+81FC U+26951
U+26BF5 U+8416

# Group: UCV-170 (⿱申又・叟)
U+635C U+641C
U+75E9 U+7626

# Group: UCV-171 (电・⿻臼乚・⿻𦥑乚)
U+96FB U+290D3
U+2003B U+2049E
U+25957 U+259A3
U+29131 U+29187

# Group: UCV-172 (奄・𡘹)
U+5944 U+21639
U+6DF9 U+23F1C
U+814C U+267E9
U+4046 U+25271

# Group: UCV-173 (㬰・臾)
U+87A4 U+6594
U+3B30 U+81FE
U+25477 U+25522
U+272A0 U+27373
U+2A019 U+2A0EA
U+238A7 U+4DBE
U+266A4 U+8174	*

# Group: UCV-174 (巢・⿱巛⿻臼木・⿱巛⿻𦥑木)
U+527F U+207FE
U+52E6 U+208B6
U+85BB U+270E1
U+8F48 U+283CB
U+4708 U+27B44
U+207B0 U+207FF

# Group: UCV-175 (寛・寬)
U+5BDB U+5BEC

# Group: UCV-176 (册・冊・𠕁)
U+518C U+518A
U+5220 U+522A
U+59D7 U+59CD
U+6805 U+67F5
U+200A8 U+200A5
U+23191 U+23327
U+2667D U+26671

# Group: UCV-177 (⿰冂冂𠄠・𠕋)
U+206F9 U+20702

# Group: UCV-179 (廾・⿰𠂇十)
U+25AE0 U+25AF2
U+26B07 U+26B20	*

# Group: UCV-180 (开・幵)
U+598D U+59F8
U+7814 U+784F
U+8A2E U+8A7D
U+8C5C U+8C63
U+90A2 U+90C9
U+9203 U+9292
U+5211 U+206EC
U+5F00 U+5E75
U+2219A U+2219E
U+2394E U+2396D
U+7B04 U+7B53	*

# Group: UCV-181 (并・幷)
U+4F75 U+5002
U+5C4F U+5C5B
U+5E21 U+5E32
U+5E76 U+5E77
U+74F6 U+7501
U+7BB3 U+7C08
U+80FC U+8141
U+8EFF U+8F27
U+8FF8 U+902C
U+9905 U+9920
U+99E2 U+9A08
U+504B U+20338
U+524F U+20775
U+221A3 U+20195
U+25C05 U+25C82
U+27A71 U+27AEE

# Group: UCV-182 (毋・毌・母)
U+26C13 U+26C9D
U+6BCB U+6BCC U+6BCD	*

# Group: UCV-183 (毎・每)
U+6BCE U+6BCF

# Group: UCV-184 (黒・黑)
U+9ED2 U+9ED1

# Group: UCV-185 (𤋱・熏)
U+85AB U+85B0
U+242F1 U+718F
U+2445B U+720B
U+52F2 U+52F3	*

# Group: UCV-186 (東・柬)
U+8ACC U+8AEB
U+932C U+934A
U+9D87 U+9DAB
U+5032 U+202D6
U+57EC U+581C
U+5A3B U+5AA1
U+22505 U+5F9A
U+3A02 U+63C0
U+2333E U+6704
U+6771 U+67EC
U+68DF U+695D
U+237EC U+6B04
U+6C2D U+23C68
U+6DB7 U+6E45
U+249AA U+7453
U+83C4 U+8430
U+8740 U+27374
U+49A8 U+95CC
U+9BDF U+9C0A
U+35A6 U+20DEC
U+245D7 U+245DB
U+2784D U+27874
U+27E69 U+27E6F
U+8156 U+2E325	*
U+226D4 U+317AB	*

# Group: UCV-187 (曽・曾)
U+5897 U+589E
U+66FD U+66FE

# Group: UCV-188 (㑹・會)
U+3479 U+6703
U+26169 U+7E6A

# Group: UCV-189 (免)
U+665A U+6669

# Group: UCV-194 (夂・攵)
U+5910 U+657B
U+5902 U+6535
U+5911 U+23022
U+6C77 U+3CCA
U+21555 U+22EEF
U+2164B U+21650
U+29157 U+2916C

# Group: UCV-197 (巿・市)
U+5DFF U+5E02
U+676E U+67FF
U+3904 U+22625
U+29994 U+299B4

# Group: UCV-199 (・艮)
U+90CE U+90DE

# Group: UCV-200 (叀・)
U+22BA8 U+22B9B

# Group: UCV-201 (龶・主)
U+9FB6 U+4E3B
U+27249 U+27276

# Group: UCV-202 (敖・⿱土方・⿱士方・⿱出方)
U+53AB U+20AAD
U+397F U+228A1
U+646E U+22D97
U+6EF6 U+23FD7
U+71AC U+243FA
U+7352 U+2489D
U+8071 U+265F7
U+851C U+26F60
U+8D05 U+27E1F
U+9068 U+285EF
U+498B U+28CB6
U+9C32 U+29F21
U+4D45 U+2A37E
U+9F07 U+2A4FE

# Group: UCV-209 (匚・匸)
U+531A U+5338
U+20947 U+20975

# Group: UCV-214 (几・兀)
